title,authors,editor
Blessings and Curses of Covariate Shifts  Adversarial Learning Dynamics  Directional Convergence  and Equilibria,"[{'name': 'Tengyuan Liang', 'affiliation': ['Booth School of Business', 'University of Chicago', 'Chicago, IL 60637, USA']}]", Amos Storkey
Boundary constrained Gaussian processes for robust physics-informed machine learning of linear partial differential equations,"[{'name': 'David Dalton', 'affiliation': ['School of Mathematics and Statistics', 'University of Glasgow', 'Glasgow G12 8QQ, UK']}, {'name': 'Alan Lazarus', 'affiliation': ['School of Mathematics and Statistics', 'University of Glasgow', 'Glasgow G12 8QQ, UK']}, {'name': 'Hao Gao', 'affiliation': ['School of Mathematics and Statistics', 'University of Glasgow', 'Glasgow G12 8QQ, UK']}, {'name': 'Dirk Husmeier', 'affiliation': ['School of Mathematics and Statistics', 'University of Glasgow', 'Glasgow G12 8QQ, UK']}]", Jean-Philippe Vert
Bridging Distributional and Risk-sensitive Reinforcement Learning with Provable Regret Bounds,"[{'name': 'Hao Liang', 'affiliation': ['School of Science and Engineering', 'The Chinese University of Hong Kong, Shenzhen']}, {'name': 'Zhi-Quan Luo', 'affiliation': ['School of Science and Engineering', 'The Chinese University of Hong Kong, Shenzhen']}]", Csaba Szepesvari
Causal Discovery with Generalized Linear Models through Peeling Algorithms,"[{'name': 'Minjie Wang', 'affiliation': ['Department of Mathematics and Statistics', 'Binghamton University, State University of New York', 'Binghamton, NY 13902, USA']}, {'name': 'Xiaotong Shen', 'affiliation': ['School of Statistics', 'University of Minnesota', 'Minneapolis, MN 55455, USA']}, {'name': 'Wei Pan', 'affiliation': ['Division of Biostatistics', 'University of Minnesota', 'Minneapolis, MN 55455, USA']}]", Jin Tian
Causal effects of intervening variables in settings with unmeasured confounding,"[{'name': 'Lan Wen', 'affiliation': ['Department of Statistics and Actuarial Science', 'University of Waterloo', 'Waterloo, ON N2L 3G1, Canada']}, {'name': 'Aaron L. Sarvet', 'affiliation': ['Department of Biostatistics and Epidemiology', 'University of Massachusetts Amherst', 'Amherst, MA 01003, United States']}, {'name': 'Mats J. Stensrud', 'affiliation': ['Department of Mathematics', 'Ecole Polytechnique F´ed´erale de Lausanne', 'Lausanne, 1015, Switzerland']}]", Ilya Shpitser
Characterization of translation invariant MMD on Rd and connections with Wasserstein distances,"[{'name': 'Thibault Modeste', 'affiliation': ['Institut Camille Jordan', 'Universit´e Claude Bernard Lyon 1', 'CNRS UMR 5208, F-69622 Villeurbanne, France']}, {'name': 'Cl´ement Dombry', 'affiliation': ['Universit´e de Franche-Comt´e,', 'CNRS, LmB (UMR 6623),', 'F-25000 Besan¸con, France']}]", Zaid Harchaoui
Choosing the Number of Topics in LDA Models – A Monte Carlo Comparison of Selection Criteria,"[{'name': 'Victor Bystrov', 'affiliation': ['Faculty of Economics and Sociology', 'University of Lodz', 'Rewolucji 1905r. 41, 90-214 Lodz, Poland']}, {'name': 'Viktoriia Naboka-Krell', 'affiliation': ['Department of Statistics and Econometrics', 'Justus Liebig University Giessen', 'Licher Strasse 64, 35394 Giessen, Germany']}, {'name': 'Anna Staszewska-Bystrova', 'affiliation': ['Faculty of Economics and Sociology', 'University of Lodz', 'Rewolucji 1905r. 37/39, 90-214 Lodz, Poland']}, {'name': 'Peter Winker', 'affiliation': ['Department of Statistics and Econometrics', 'Justus Liebig University Giessen', 'Licher Strasse 64, 35394 Giessen, Germany']}]", Matthew Hoﬀman
Classification of Data Generated by Gaussian Mixture Models Using Deep ReLU Networks,"[{'name': 'Tian-Yi Zhou', 'affiliation': ['H. Milton Stewart School of Industrial and Systems Engineering', 'Georgia Institute of Technology', 'Atlanta, GA 30332, USA']}, {'name': 'Xiaoming Huo', 'affiliation': ['H. Milton Stewart School of Industrial and Systems Engineering', 'Georgia Institute of Technology', 'Atlanta, GA 30332, USA']}]", Bharath Sriperumbudur
Classification with Deep Neural Networks and Logistic Loss,"[{'name': 'Zihan Zhang', 'affiliation': ['Shanghai Center for Mathematical Sciences', 'Fudan University, Shanghai 200433, China', 'School of Data Science', 'City University of Hong Kong, Kowloon, Hong Kong']}, {'name': 'Lei Shi', 'affiliation': ['School of Mathematical Sciences and Shanghai', 'Key Laboratory for Contemporary Applied Mathematics', 'Fudan University, Shanghai 200433, China', 'Shanghai Artiﬁcial Intelligence Laboratory', '701 Yunjin Road, Shanghai 200232, China']}, {'name': 'Ding-Xuan Zhou', 'affiliation': ['School of Mathematics and Statistics', 'University of Sydney, Sydney NSW 2006, Australia']}]", Maxim Raginsky
Cluster-Adaptive Network A B Testing  From Randomization to Estimation,"[{'name': 'Yang Liu', 'affiliation': ['Institute of Statistics and Big Data', 'Renmin University of China', 'Beijing, 100872, China']}, {'name': 'Yifan Zhou', 'affiliation': ['Department of Statistics', 'George Washington University', 'Washington, DC 22202, USA']}, {'name': 'Ping Li', 'affiliation': ['VecML Inc.', 'Bellevue, WA 98004, USA']}, {'name': 'Feifang Hu', 'affiliation': ['Department of Statistics', 'George Washington University', 'Washington, DC 22202, USA']}]", Edoardo Maria Airoldi
